id	SOC	Kaol	Sm	Klin	x	y
a1	3.21	7.88	58.85	1.71	565466.8047700000	5593140.4496000000
a2	3.71	3.07	59.63	3.32	565516.3281000000	5593306.2033000000
a3	3.55	3.38	65.21	2.32	565503.5685800000	5593413.2034000000
a4	2.67	2.92	50.03	2.48	565492.0871700000	5593513.0545000000
a5	2.09				565454.4449200000	5593513.6715000000
a6	3.16	6.50	58.76	1.44	565894.9709300000	5593738.3822000000
a7	2.87				566191.5844000000	5593613.9694000000
a8	3.40				566198.6062900000	5593905.5023000000
b1	0.74	24.95	42.93	2.21	566120.4829900000	5592361.5164000000
b2	2.07	26.46	43.50	2.06	565796.2473700000	5592547.1530000000
b3	2.96				566011.7617700000	5592439.2067000000
b4	2.93	7.98	54.32	2.04	565865.9245600000	5592692.8880000000
c1	0.98				566858.0725000000	5592475.7943000000
c2	1.81	2.24	69.07	2.86	566809.2142600000	5592468.9708000000
c3	0.86	3.49	48.24	18.20	566756.5039300000	5592455.9134000000
c4	3.47	0.21	59.60	2.97	566559.2875000000	5592702.4404000000
c5	3.35	5.82	57.61	2.29	566477.7083300000	5592692.8159000000
c6	2.67	8.41	55.36	2.06	566151.2994400000	5592679.0247000000
c7	1.81	8.18	51.36	2.38	566025.7584100000	5592858.7764000000
c8	2.45				566021.6288900000	5593120.8658000000
c9	2.03	9.79	50.91	2.01	566172.2752900000	5593044.9162000000
c10	1.87	6.80	52.60	1.94	565983.2974900000	5592929.4195000000
