x	y	L8b2_24MART2014	L8b3_24MART2014	L8b4_24MART2014	L8b5_24MART2014	L8b2_25APR2014	L8b3_25APR2014	L8b4_25APR2014	L8b5_25APR2014	BG_24MART2014	BR_24MART2014	BNIR_24MART2014	GB_24MART2014	GR_24MART2014	GNIR_24MART2014	RB_24MART2014	RG_24MART2014	RNIR_24MART2014	NIRB_24MART2014	NIRG_24MART2014	NIRR_24MART2014	BG_25APR2014	BR_25APR2014	BNIR_25APR2014	GB_25APR2014	GR_25APR2014	GNIR_25APR2014	RB_25APR2014	RG_25APR2014	RNIR_25APR2014	NIRB_25APR2014	NIRG_25APR2014	NIRR_25APR2014	DEM	CScurv	CI	FA	TWI	LSF	CNBL	VDCN	VD	SLP	MRVBF	MRRTF	L8b2_mean	L8b3_mean	L8b4_mean	L8b5_mean	BG_mean	BR_mean	BNIR_mean	GB_mean	GR_mean	GNIR_mean	RB_mean	RG_mean	RNIR_mean	NIRB_mean	NIRG_mean	NIRR_mean
"1"	565980	5592240	0.0419	0.0558	0.0721	0.132	0.0446	0.0629	0.0752	0.1492	0.750896	0.581137	0.317424	1.331742	0.773925	0.422727	1.720764	1.292115	0.546212	3.150358	2.365592	1.830791	0.709062	0.593085	0.298928	1.410314	0.836436	0.421582	1.686099	1.195549	0.504021	3.345292	2.372019	1.984043	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.04325	0.05935	0.07365	0.1406	0.728727885425442	0.587236931432451	0.307610241820768	1.37225433526012	0.805838424983028	0.422119487908962	1.7028901734104	1.24094355518113	0.523826458036984	3.25086705202312	2.36899747262005	1.90902919212492
"2"	566010	5592240	0.0383	0.0537	0.0706	0.1282	0.0425	0.0599	0.0708	0.1469	0.713222	0.542493	0.298752	1.402089	0.760623	0.418877	1.843342	1.314711	0.550702	3.347258	2.387337	1.815864	0.709516	0.600282	0.289312	1.409412	0.846045	0.40776	1.665882	1.18197	0.481961	3.45647	2.452421	2.074859	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.0404	0.0568	0.0707	0.13755	0.711267605633803	0.571428571428572	0.293711377680843	1.40594059405941	0.803394625176803	0.412940748818611	1.75	1.24471830985915	0.513994910941476	3.40470297029703	2.42165492957746	1.94554455445545
"3"	566040	5592240	0.0403	0.0544	0.0709	0.1323	0.0399	0.0602	0.0681	0.1635	0.740809	0.568406	0.304611	1.349876	0.767278	0.411187	1.759305	1.303309	0.535903	3.282878	2.431985	1.866009	0.662791	0.585903	0.244037	1.508772	0.883994	0.368196	1.706767	1.131229	0.416514	4.097744	2.715947	2.400881	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.0401	0.0573	0.0695	0.1479	0.699825479930192	0.576978417266187	0.271129141311697	1.428927680798	0.824460431654676	0.387423935091278	1.73316708229426	1.21291448516579	0.469912102772143	3.68827930174564	2.58115183246073	2.12805755395683
"4"	566520	5592240	0.0441	0.0569	0.072	0.1166	0.0476	0.0619	0.0716	0.1366	0.775044	0.6125	0.378216	1.290249	0.790278	0.487993	1.632653	1.265378	0.617496	2.643991	2.049209	1.619444	0.768982	0.664805	0.348463	1.30042	0.864525	0.453148	1.504202	1.156704	0.524158	2.869748	2.206785	1.907821	255.695541	-2.4e-05	-0.895734	11875.490234	7.707348	1.447474	209.42366	46.271877	34.327206	5.916445	0.353341	0.31317	0.04585	0.0594	0.0718	0.1266	0.771885521885522	0.63857938718663	0.36216429699842	1.29552889858233	0.827298050139276	0.469194312796209	1.5659760087241	1.20875420875421	0.567140600315956	2.76117775354417	2.13131313131313	1.76323119777159
"5"	566550	5592240	0.0372	0.0478	0.0589	0.0973	0.0446	0.0599	0.0702	0.1275	0.778243	0.631579	0.382323	1.284946	0.811545	0.491264	1.583333	1.232218	0.605344	2.615591	2.035565	1.651953	0.744574	0.635328	0.349804	1.343049	0.853276	0.469804	1.573991	1.171953	0.550588	2.858744	2.128547	1.816239	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0.0409	0.05385	0.06455	0.1124	0.759517177344475	0.633617350890782	0.363879003558719	1.31662591687042	0.83423702556158	0.479092526690391	1.57823960880196	1.19870009285051	0.574288256227758	2.7481662591687	2.08727948003714	1.74128582494191
"6"	565950	5592270	0.0408	0.0538	0.0691	0.1283	0.0446	0.0606	0.0709	0.1408	0.758364	0.590449	0.318005	1.318627	0.778582	0.41933	1.693627	1.284387	0.538581	3.144608	2.384758	1.856729	0.735974	0.629055	0.316761	1.358745	0.854725	0.430398	1.589686	1.169967	0.503551	3.156951	2.323432	1.985896	298.340424	-0.000159	-2.487146	8688.99707	8.447864	0.350424	209.852844	88.487572	0.030528	2.081828	1.686735	2.571952	0.0427	0.0572	0.07	0.13455	0.746503496503497	0.61	0.3173541434411	1.33957845433255	0.817142857142857	0.42512077294686	1.63934426229508	1.22377622377622	0.520252694165738	3.15105386416862	2.35227272727273	1.92214285714286
"7"	565980	5592270	0.0414	0.0568	0.0739	0.1319	0.0475	0.0622	0.0766	0.1339	0.728873	0.560217	0.313874	1.371981	0.768606	0.430629	1.785024	1.301056	0.560273	3.18599	2.322183	1.784844	0.763666	0.620104	0.354742	1.309474	0.81201	0.464526	1.612632	1.231511	0.572069	2.818948	2.152733	1.748042	297.542999	-0.000207	-2.742461	9820.344727	8.401098	0.450064	209.832199	87.710815	0.218543	2.469732	1.662788	1.065998	0.04445	0.0595	0.07525	0.1329	0.747058823529412	0.590697674418605	0.334462001504891	1.33858267716535	0.790697674418605	0.4477050413845	1.69291338582677	1.26470588235294	0.566215199398044	2.98987626546682	2.23361344537815	1.76611295681063
"8"	566010	5592270	0.0401	0.0565	0.073	0.1358	0.0517	0.0697	0.0892	0.1477	0.709735	0.549315	0.295287	1.408978	0.773973	0.416053	1.820449	1.292035	0.537555	3.386534	2.40354	1.860274	0.74175	0.579596	0.350034	1.348163	0.78139	0.471903	1.725338	1.27977	0.603927	2.856867	2.119082	1.65583	296.153503	-0.000277	-3.034181	11535.472656	8.365565	0.594291	209.801346	86.352165	0.722093	2.990719	1.588028	0.294697	0.0459	0.0631	0.0811	0.14175	0.727416798732171	0.56596794081381	0.323809523809524	1.37472766884532	0.778051787916153	0.445149911816579	1.76688453159041	1.28526148969889	0.572134038800706	3.08823529411765	2.24643423137876	1.7478421701603
"9"	566040	5592270	0.0416	0.0613	0.0822	0.145	0.0529	0.0744	0.0961	0.156	0.67863	0.506083	0.286897	1.473558	0.745742	0.422759	1.975961	1.340946	0.566897	3.485577	2.365416	1.76399	0.711022	0.550468	0.339103	1.406427	0.774194	0.476923	1.816635	1.291667	0.616026	2.94896	2.096774	1.623309	294.526764	-0.000342	-3.248231	13336.592773	8.404604	0.695758	209.771103	84.755661	1.518105	3.309147	1.496505	0.253282	0.04725	0.06785	0.08915	0.1505	0.696389093588799	0.530005608524958	0.313953488372093	1.43597883597884	0.761076836791924	0.450830564784053	1.88677248677249	1.31392778187178	0.592358803986711	3.18518518518519	2.21812822402358	1.68816601233875
"10"	566070	5592270	0.0432	0.0644	0.0885	0.1571	0.052	0.0743	0.0996	0.1649	0.670807	0.488136	0.274984	1.490741	0.727684	0.40993	2.048611	1.374224	0.563335	3.636574	2.439441	1.775141	0.699865	0.522088	0.315343	1.428846	0.745984	0.450576	1.915385	1.340511	0.604002	3.171154	2.219381	1.655622	292.796753	-0.000397	-3.414807	15316.333984	8.517154	0.735607	209.741455	83.055313	2.458715	3.385982	1.446878	0.224821	0.0476	0.06935	0.09405	0.161	0.686373467916366	0.506113769271664	0.295652173913044	1.45693277310924	0.737373737373737	0.430745341614907	1.97584033613445	1.35616438356164	0.58416149068323	3.38235294117647	2.32155731795241	1.71185539606592
