x	y	S2_B02_20160409	S2_B03_20160409	S2_B04_20160409	S2_B08_20160409	BG_20160409	BR_20160409	BNIR_20160409	GB_20160409	GR_20160409	GNIR_20160409	RB_20160409	RG_20160409	RNIR_20160409	NIRB_20160409	NIRG_20160409	NIRR_20160409	DEM	SLP	CS_curv	Long_curv	CI	FA	TWI	LSF	CNBL	VDCN	VD	RSP	MRVBF	MRRTF
565985.000000	5592235.000000	0.048700	0.058600	0.089100	0.160800	0.831058	0.546577	0.302861	1.203285	0.657688	0.364428	1.829569	1.520478	0.554105	3.301848	2.744027	1.804714	297.049316	2.828322	-0.000654	0.000718	-2.262765	3965.559570	8.455869	0.555624	240.806152	56.243141	0.195618	0.996533	1.512844	0.335685
565995.000000	5592235.000000	0.045400	0.056200	0.086500	0.150900	0.807829	0.524855	0.300862	1.237885	0.649711	0.372432	1.905286	1.539146	0.573227	3.323788	2.685054	1.744509	296.543335	3.060154	-0.000766	0.000678	-2.422856	4299.487305	8.457629	0.625448	240.528595	56.014748	0.314568	0.994414	1.473773	0.317904
566005.000000	5592235.000000	0.043800	0.053800	0.081100	0.140500	0.814126	0.540074	0.311744	1.228310	0.663378	0.382918	1.851598	1.507435	0.577224	3.207762	2.611524	1.732429	295.995331	3.266615	-0.000879	0.000582	-2.581953	4673.782227	8.475275	0.692115	240.256531	55.738808	0.467598	0.991679	1.431339	0.292765
566015.000000	5592235.000000	0.040000	0.052300	0.080100	0.137700	0.764818	0.499376	0.290487	1.307500	0.652934	0.379811	2.002500	1.531549	0.581699	3.442500	2.632887	1.719101	295.412903	3.422743	-0.000987	0.000413	-2.740177	5107.080078	8.516804	0.748375	239.989471	55.423447	0.649887	0.988408	1.373717	0.277392
566025.000000	5592235.000000	0.036900	0.046100	0.072500	0.128700	0.800434	0.508966	0.286713	1.249322	0.635862	0.358197	1.964769	1.572668	0.563325	3.487805	2.791757	1.775173	294.807312	3.517130	-0.001078	0.000173	-2.897554	5611.023926	8.583364	0.789867	239.726105	55.081215	0.852890	0.984749	1.315355	0.273575
566505.000000	5592235.000000	0.030700	0.037200	0.053700	0.097100	0.825269	0.571695	0.316169	1.211726	0.692737	0.383110	1.749186	1.443548	0.553038	3.162866	2.610215	1.808194	256.578033	5.755167	0.000206	0.000841	0.063152	2992.422119	7.459461	1.319686	230.734802	25.843239	24.839714	0.509900	0.443906	0.246267
566515.000000	5592235.000000	0.032900	0.041900	0.056500	0.105000	0.785203	0.582301	0.313333	1.273556	0.741593	0.399048	1.717325	1.348449	0.538095	3.191489	2.505966	1.858407	255.835678	5.618166	0.000298	0.001089	0.177857	2702.921143	7.383717	1.253623	230.569717	25.265955	25.318472	0.499446	0.464730	0.247941
566525.000000	5592235.000000	0.034500	0.043400	0.055400	0.108500	0.794931	0.622744	0.317972	1.257971	0.783394	0.400000	1.605797	1.276498	0.510599	3.144928	2.500000	1.958484	255.394440	5.556037	0.000387	0.001281	0.288781	2549.577881	7.336517	1.221773	230.417770	24.976669	25.573235	0.494061	0.474473	0.248339
566535.000000	5592235.000000	0.037200	0.041200	0.056900	0.109900	0.902913	0.653779	0.338490	1.107527	0.724077	0.374886	1.529570	1.381068	0.517743	2.954301	2.667476	1.931459	255.059875	5.491680	0.000542	0.001429	0.492289	2347.072021	7.266011	1.183792	230.152069	24.907791	25.685188	0.492280	0.475015	0.258407
566545.000000	5592235.000000	0.035200	0.041700	0.055500	0.104600	0.844125	0.634234	0.336520	1.184659	0.751351	0.398662	1.576705	1.330935	0.530593	2.971591	2.508394	1.884685	254.922623	5.409244	0.000717	0.001469	0.736752	2181.111572	7.207669	1.143950	229.863281	25.059336	25.637552	0.494263	0.445141	0.302315
566555.000000	5592235.000000	0.035200	0.040100	0.055600	0.101200	0.877806	0.633094	0.347826	1.139205	0.721223	0.396245	1.579545	1.386534	0.549407	2.875000	2.523691	1.820144	254.777954	5.344768	0.000963	0.001392	1.108286	1975.294678	7.119882	1.103091	229.415390	25.362564	25.525360	0.498402	0.374577	0.390187
565975.000000	5592245.000000	0.050400	0.062000	0.094200	0.164000	0.812903	0.535032	0.307317	1.230159	0.658174	0.378049	1.869048	1.519355	0.574390	3.253968	2.645162	1.740977	297.513000	2.638564	-0.000495	0.000758	-1.942066	3584.662842	8.424029	0.497567	240.984451	56.528538	0.094681	0.998327	1.566595	0.340817
565985.000000	5592245.000000	0.048700	0.058800	0.093600	0.156900	0.828231	0.520299	0.310389	1.207392	0.628205	0.374761	1.921971	1.591837	0.596558	3.221766	2.668367	1.676282	297.106903	2.850940	-0.000598	0.000742	-2.123381	3851.177246	8.418468	0.558107	240.764236	56.342678	0.170326	0.996985	1.509543	0.336253
565995.000000	5592245.000000	0.045200	0.056200	0.087700	0.149500	0.804271	0.515393	0.302341	1.243363	0.640821	0.375920	1.940265	1.560498	0.586622	3.307522	2.660143	1.704675	296.599518	3.100786	-0.000711	0.000689	-2.285561	4158.994141	8.410835	0.631954	240.487167	56.112354	0.288040	0.994891	1.439504	0.325189
566005.000000	5592245.000000	0.046200	0.054900	0.083400	0.141400	0.841530	0.553957	0.326733	1.188312	0.658273	0.388260	1.805195	1.519126	0.589816	3.060606	2.575592	1.695444	296.047913	3.312859	-0.000825	0.000575	-2.443362	4506.510742	8.424197	0.699589	240.215515	55.832409	0.441406	0.992154	1.368320	0.310708
566015.000000	5592245.000000	0.043300	0.052500	0.082800	0.137000	0.824762	0.522947	0.316058	1.212471	0.634058	0.383212	1.912240	1.577143	0.604380	3.163972	2.609524	1.654589	295.462341	3.460674	-0.000929	0.000394	-2.591070	4910.333496	8.465750	0.753026	239.948807	55.513542	0.623093	0.988898	1.295833	0.301623
